"DistrictName","EstablishmentCode","EstablishmentName","BRCName","CRCName","SchoolLevel","ManagementName","LocalityHabitation","SubdivisionName","ConstituencyName","RevenueBlockName","CivicBodyName","WardName","PostOfficeName","PhoneNo","FaxNo","EmailID","Website","LocatedInRuralOrUrban","DiseCode","EstablishedDate","DistrictHQDistance (in Km)","CRCDistance (in Km)","BACDistance (in Km)","IsRecognized","RecognizedBy","ContactPersonName","LowestClass","HighestClass","BoardName"
"East","S0169","BUDANG GOVERNMENT PRIMARY SCHOOL (E)","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","BUDANG","Gangtok","Rhenock","Central Pendam","Central Pendam","Sajong","Upper Pendam","NA","NA","NA","NA","Urban Area","NA","28126","58","8","16","Recognized","HRDD","NA","Class 1","Class 5","NA"
"East","S0099","CENTRAL PENDAM GOVERNMENT SENIOR SECONDARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","SSS","State Govt.","CENTRAL PENDAM","Gangtok","West Pandam","Central Pendam","Central Pendam","Karmithang","Upper Pendam","3592263812","NA","NA","NA","Urban Area","800401","15342","50","0","6","Recognized","HRDD","NA","Class 1","Class 12","C.B.S.E."
"East","S0848","CENTRAL POINT ACADEMY, CENTRAL PENDAM","Duga Brc","Central Pendam Government Senior Secondary School","SS","Private (Unaided)","UPPER BHURUNG CENTRAL PENDAM","Gangtok","West Pandam","Central Pendam","Central Pendam","Burung","Upper Pendam","03592263809/263960","NA","ksu_5162@yahoo.com","www.facebook.com/khanalkeshav (Group-CPA)","Urban Area","NA","37257.38680555556","49","1.5","6","Recognized","HRDD, GOVT. OF SIKKIM","NA","Class 1","Class 10","C.B.S.E."
"East","S0190","CHEURIBOTEY GOVERNMENT JUNIOR HIGH SCHOOL (E)","Duga Brc","Central Pendam Government Senior Secondary School","JHS","State Govt.","CHEURIBOTEY","Gangtok","West Pandam","Central Pendam","Central Pendam","Cheuribotey","Duga","NA","NA","NA","NA","Urban Area","NA","28856","60","6","6","Recognized","State Govt.","NA","Class 1","Class 8","NA"
"East","S0111","DUGA GOVERNMENT SECONDARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","SS","State Govt.","DUGA","Gangtok","West Pandam","Central Pendam","Central Pendam","Duga","Duga","9832082915","NA","dugaschool@gmail.com","NA","Urban Area","NA","1828","52","0","0.5","Recognized","c.b.s.e.","NA","Class 1","Class 10","C.B.S.E."
"East","S0856","EASWARAMMA SAI GURUKOOL ACCADEMY","Duga Brc","Central Pendam Government Senior Secondary School","PS","Private (Unaided)","RALUNG","Gangtok","West Pandam","Central Pendam","West Pendam","Ralang","West Pendam","9733056624","NA","NA","NA","Urban Area","NA","40179.66805555556","0","0.2","0.2","Recognized","NA","NA","Class 1","Class 5","NA"
"East","S0870","ETERNAL ENGLISH SCHOOL, WEST PENDAM","Duga Brc","Central Pendam Government Senior Secondary School","PS","Private (Unaided)","SAKHU WEST PENDAM","Gangtok","West Pandam","West Pendam","West Pendam","Sakhu","Sakhu Busty","9734190544","NA","NA","NA","Urban Area","NA","37300.66805555556","42","3","4","Recognized","HRDD OF SIKKIM","NA","Class 1","Class 5","NA"
"East","S0157","KHANI GOAN GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","WEST PENDAM","Gangtok","West Pandam","West Pendam","West Pendam","Khanigaon","West Pendam","9832470263","NA","NA","NA","Urban Area","801801","29587","45","5","4","Recognized","State Govt.","NA","Class 1","Class 5","C.B.S.E."
"East","S0876","NEW GARDEN BOARDING SCHOOL (SAJONG)","Duga Brc","Central Pendam Government Senior Secondary School","PS","Private (Unaided)","CENTRAL PENDAM","Gangtok","Rhenock","Central Pendam","Sigtam Nagar Panchayat","Mandir Line","Upper Pendam","03592263862/ 9434171673","NA","NA","NA","Rural Area","NA","33604.66805555556","40","7","7","Not Recognized","NA","NA","Class 1","Class 4","NA"
"East","S0164","OKHARBOTEY GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","OKHARBOTTEY","Gangtok","Namcheybong","Lingzey Sumen","Sumin Lingzey","Upper Linzey","West Pendam","9434174498","NA","NA","NA","Urban Area","NA","31413","70","4","9","Recognized","State Govt.","NA","Class 1","Class 5","NA"
"East","S0226","PACHAK GOVERNMENT SECONDARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","SS","State Govt.","PACHAK","Pakyong","Rhenock","Budang Kamerey","Budang Kamerey","Lower Pachak","Duga","9434382165","NA","NA","NA","Urban Area","11040801501","15707","68","6","7","Recognized","State Govt.","NA","Class 1","Class 10","C.B.S.E."
"East","S0851","PADMA KUMARI PUBLIC SCHOOL, DUGA","Duga Brc","Central Pendam Government Senior Secondary School","JHS","Private (Unaided)","DUGA","NA","West Pandam","sankhu-khandu","West Pendam","Khanigaon","Duga","9932124052","NA","NA","NA","Urban Area","NA","38385.66819444444","48","200","200","Recognized","NA","NA","Class 1","Class 8","NA"
"East","S0142","SAJONG GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","JHS","State Govt.","SAJONG","Pakyong","Rhenock","Sajong","Central Pendam","Sajong","East Pendam","NA","NA","NA","NA","Urban Area","NA","27760","57","2","8","Recognized","State Govt.","NA","Class 1","Class 8","NA"
"East","S0137","SAKHU KHANI GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","SAKHU","Gangtok","West Pandam","Central Pendam","West Pendam","Sakhu","Sakhu Busty","9832352030","NA","NA","NA","Urban Area","802001","25569","36","4","4","Recognized","State Government","NA","Class 1","Class 5","C.B.S.E."
"East","S0179","SAMSING SUNTALEY GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","SAMSING SUNTALEY","Gangtok","West Pandam","Central Pendam","Central Pendam","Cheuribotey","Duga","NA","NA","NA","NA","Urban Area","11040312901","31048","0","0.5","0.5","Recognized","State Govt.","NA","Class 1","Class 5","NA"
"East","S1230","SARASWATI SHISHU VIDHYALAYA, BUDANG","Duga Brc","Central Pendam Government Senior Secondary School","PS","Private (Unaided)","CENTRAL PENDAM","Gangtok","Rhenock","Budang Thangsing","Central Pendam","Sajong","Duga","NA","NA","NA","NA","Urban Area","NA","36161.68055555555","67","8","15","Not Recognized","NA","NA","Class 1","Class 5","NA"
"East","S0768","SAWNEY GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","SAWNEY","Gangtok","West Pandam","West Pendam","West Pendam","Sawney","Duga","NA","NA","NA","NA","Urban Area","802104","27030","25","3","8","Recognized","State Government","NA","Class 1","Class 5","C.B.S.E."
"East","S0219","SINGLEYBONG GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","JHS","State Govt.","SINGLEYBONG (WEST PENDAM)","Gangtok","West Pandam","Central Pendam","West Pendam","Singleybong","Sakhu Busty","9733099154","NA","singlebongjhs@yahoo.com","NA","Urban Area","801901","26665","38","8","6","Recognized","hrdd","NA","Class 1","Class 8","NA"
