"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S1034","(I.E.C) INDIAN EVANGALISTIC CRUSADE MISSION PRIMARY SCHOOL, RIMBI","Not Available","0","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0516","10TH MILE GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0237","4TH MILE GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0692","AAPGAZI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0374","AARUBOTEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0218","ADAMPOOL GOVERNMENT JUNIOR HIGH SCHOOL","Available","217","Available","5","Available","Available","1","Available","Not Available"
"S1064","ADONAI HOMES , NAYA BAZAR","Available","0","Available","0","Not Available","Available","2","Not Available","Available"
"C1348","ADVANCED TECHNICAL TRAINING CENTRE","Available","0","Available","0","Available","Available","0","Available","Available"
"S0178","AGRIGAON GOVERNMENT PRIMARY SCHOOL","Available","60","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0364","AGRINAYA BUSTY GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0122","AHO-KISHAN GOVERNMENT SECONDARY SCHOOL","Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0097","AHO-SHANTI GOVERNMENT SECONDARY SCHOOL","Available","1200","Available","6","Available","Available","1","Not Available","Available"
"S0108","AHO-YANGTAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
